"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store\lib\Transaction\Delivered\ui\delivered_transaction_page.dart", "Dart", 60, 0, 3, 63
"d:\Flutter Application\book_store\lib\Transaction\Delivering\bloc\delivering_bloc.dart", "Dart", 121, 1, 21, 143
"d:\Flutter Application\book_store\lib\Transaction\Delivering\bloc\delivering_event.dart", "Dart", 16, 0, 9, 25
"d:\Flutter Application\book_store\lib\Transaction\Delivering\bloc\delivering_state.dart", "Dart", 14, 0, 8, 22
"d:\Flutter Application\book_store\lib\Transaction\Delivering\ui\delivering_item.dart", "Dart", 59, 0, 4, 63
"d:\Flutter Application\book_store\lib\Transaction\Delivering\ui\delivering_transaction_page.dart", "Dart", 82, 0, 3, 85
"d:\Flutter Application\book_store\lib\Transaction\Unconfirmed\bloc\unconfirmed_bloc.dart", "Dart", 104, 0, 19, 123
"d:\Flutter Application\book_store\lib\Transaction\Unconfirmed\bloc\unconfirmed_event.dart", "Dart", 16, 0, 9, 25
"d:\Flutter Application\book_store\lib\Transaction\Unconfirmed\bloc\unconfirmed_state.dart", "Dart", 14, 0, 8, 22
"d:\Flutter Application\book_store\lib\Transaction\Unconfirmed\ui\unconfirmed_transaction_item.dart", "Dart", 43, 0, 4, 47
"d:\Flutter Application\book_store\lib\Transaction\Unconfirmed\ui\unconfirmed_transaction_page.dart", "Dart", 65, 0, 3, 68
"d:\Flutter Application\book_store\lib\Transaction\ui\abstract_transaction_detail_page.dart", "Dart", 553, 0, 6, 559
"d:\Flutter Application\book_store\lib\Transaction\ui\abstract_transaction_item.dart", "Dart", 234, 0, 5, 239
"d:\Flutter Application\book_store\lib\Transaction\ui\confirm_cancelled_dialog.dart", "Dart", 108, 0, 3, 111
"d:\Flutter Application\book_store\lib\Transaction\ui\confirm_received_dialog.dart", "Dart", 108, 0, 3, 111
"d:\Flutter Application\book_store\lib\Transaction\ui\empty_page.dart", "Dart", 34, 0, 3, 37
"d:\Flutter Application\book_store\lib\Transaction\ui\transaction_detail_cancel_page.dart", "Dart", 38, 0, 4, 42
"d:\Flutter Application\book_store\lib\Transaction\ui\transaction_detail_receive_page.dart", "Dart", 36, 0, 3, 39
"d:\Flutter Application\book_store\lib\Transaction\ui\transaction_detail_reorder_page.dart", "Dart", 36, 0, 3, 39
"d:\Flutter Application\book_store\lib\Transaction\ui\transaction_loading.dart", "Dart", 15, 0, 3, 18
"d:\Flutter Application\book_store\lib\Transaction\ui\transaction_page.dart", "Dart", 110, 0, 9, 119
"d:\Flutter Application\book_store\lib\Transaction\ui\transaction_product.dart", "Dart", 123, 0, 3, 126
"d:\Flutter Application\book_store\lib\bloc\main_bloc.dart", "Dart", 39, 0, 6, 45
"d:\Flutter Application\book_store\lib\bloc\main_event.dart", "Dart", 15, 0, 7, 22
"d:\Flutter Application\book_store\lib\bloc\main_state.dart", "Dart", 15, 0, 7, 22
"d:\Flutter Application\book_store\lib\firebase_options.dart", "Dart", 66, 12, 6, 84
